Bag_1+1,iris_data_1,0,54,34,17,2
Bag_1+2,iris_data_2,0,44,30,13,2
Bag_1+3,iris_data_3,0,43,30,11,1
Bag_1+4,iris_data_4,1,49,24,33,10
Bag_1+5,iris_data_5,1,69,31,49,15
Bag_2+1,iris_data_1,1,56,25,39,11
Bag_2+2,iris_data_2,1,67,30,50,17
Bag_2+3,iris_data_3,0,49,31,15,2
Bag_2+4,iris_data_4,0,46,32,14,2
Bag_2+5,iris_data_5,1,62,22,45,15
Bag_3+1,iris_data_1,0,50,32,12,2
Bag_3+2,iris_data_2,1,55,26,44,12
Bag_3+3,iris_data_3,1,58,27,39,12
Bag_3+4,iris_data_4,0,51,35,14,3
Bag_3+5,iris_data_5,1,62,29,43,13
Bag_4+1,iris_data_1,0,51,38,15,3
Bag_4+2,iris_data_2,0,55,35,13,2
Bag_4+3,iris_data_3,0,51,38,19,4
Bag_4+4,iris_data_4,0,47,32,16,2
Bag_4+5,iris_data_5,0,53,37,15,2
Bag_5+1,iris_data_1,1,57,28,41,13
Bag_5+2,iris_data_2,0,52,35,15,2
Bag_5+3,iris_data_3,0,51,35,14,2
Bag_5+4,iris_data_4,1,57,28,45,13
Bag_5+5,iris_data_5,0,57,44,15,4
Bag_6+1,iris_data_1,1,55,24,37,10
Bag_6+2,iris_data_2,0,51,33,17,5
Bag_6+3,iris_data_3,0,48,30,14,3
Bag_6+4,iris_data_4,1,66,30,44,14
Bag_6+5,iris_data_5,0,49,31,15,1
Bag_7+1,iris_data_1,0,54,34,15,4
Bag_7+2,iris_data_2,1,57,29,42,13
Bag_7+3,iris_data_3,1,66,29,46,13
Bag_7+4,iris_data_4,0,48,31,16,2
Bag_7+5,iris_data_5,1,59,32,48,18
Bag_8+1,iris_data_1,1,55,24,38,11
Bag_8+2,iris_data_2,0,54,37,15,2
Bag_8+3,iris_data_3,1,63,25,49,15
Bag_8+4,iris_data_4,0,48,34,19,2
Bag_8+5,iris_data_5,0,44,29,14,2
Bag_9+1,iris_data_1,0,50,34,15,2
Bag_9+2,iris_data_2,1,54,30,45,15
Bag_9+3,iris_data_3,1,51,25,30,11
Bag_9+4,iris_data_4,1,57,30,42,12
Bag_9+5,iris_data_5,0,49,36,14,1
Bag_10+1,iris_data_1,0,51,34,15,2
Bag_10+2,iris_data_2,0,52,41,15,1
Bag_10+3,iris_data_3,0,58,40,12,2
Bag_10+4,iris_data_4,1,57,26,35,10
Bag_10+5,iris_data_5,0,54,39,13,4
Bag_11+1,iris_data_1,1,64,29,43,13
Bag_11+2,iris_data_2,1,58,26,40,12
Bag_11+3,iris_data_3,0,55,42,14,2
Bag_11+4,iris_data_4,0,46,36,10,2
Bag_11+5,iris_data_5,1,68,28,48,14
Bag_12+1,iris_data_1,1,55,23,40,13
Bag_12+2,iris_data_2,1,55,25,40,13
Bag_12+3,iris_data_3,1,60,29,45,15
Bag_12+4,iris_data_4,1,67,31,44,14
Bag_12+5,iris_data_5,0,51,37,15,4
Bag_13+1,iris_data_1,1,56,27,42,13
Bag_13+2,iris_data_2,1,61,28,40,13
Bag_13+3,iris_data_3,1,56,30,45,15
Bag_13+4,iris_data_4,1,58,27,41,10
Bag_13+5,iris_data_5,1,61,29,47,14
Bag_14+1,iris_data_1,0,49,30,14,2
Bag_14+2,iris_data_2,0,50,30,16,2
Bag_14+3,iris_data_3,1,65,28,46,15
Bag_14+4,iris_data_4,0,45,23,13,3
Bag_14+5,iris_data_5,1,52,27,39,14
Bag_15+1,iris_data_1,1,61,30,46,14
Bag_15+2,iris_data_2,0,50,35,16,6
Bag_15+3,iris_data_3,1,61,28,47,12
Bag_15+4,iris_data_4,0,50,36,14,2
Bag_15+5,iris_data_5,0,57,38,17,3
Bag_16+1,iris_data_1,1,67,31,47,15
Bag_16+2,iris_data_2,0,52,34,14,2
Bag_16+3,iris_data_3,1,63,33,47,16
Bag_16+4,iris_data_4,0,51,38,16,2
Bag_16+5,iris_data_5,0,47,32,13,2
Bag_17+1,iris_data_1,0,50,35,13,3
Bag_17+2,iris_data_2,1,59,30,42,15
Bag_17+3,iris_data_3,1,64,32,45,15
Bag_17+4,iris_data_4,1,60,27,51,16
Bag_17+5,iris_data_5,1,56,29,36,13
Bag_18+1,iris_data_1,0,54,39,17,4
Bag_18+2,iris_data_2,0,46,31,15,2
Bag_18+3,iris_data_3,1,60,22,40,10
Bag_18+4,iris_data_4,0,46,34,14,3
Bag_18+5,iris_data_5,0,48,30,14,1
Bag_19+1,iris_data_1,0,44,32,13,2
Bag_19+2,iris_data_2,1,70,32,47,14
Bag_19+3,iris_data_3,0,50,33,14,2
Bag_19+4,iris_data_4,0,50,34,16,4
Bag_19+5,iris_data_5,1,63,23,44,13
Bag_20+1,iris_data_1,1,50,20,35,10
Bag_20+2,iris_data_2,1,50,23,33,10
Bag_20+3,iris_data_3,1,60,34,45,16
Bag_20+4,iris_data_4,1,56,30,41,13
Bag_20+5,iris_data_5,0,48,34,16,2
